Solution,Power,Latency,Cost
0,147.24205839816128,703.3907437033871,43.561171022211504
1,147.21669996428284,705.8729260848385,43.56712067524532
2,138.95303354333333,730.9475776278532,43.563614428010844
3,147.27786310995975,701.5916211212564,43.59071315385411
4,178.89482290583197,1102.9917567916455,32.73744955623824
5,135.51935483386038,735.5501769896775,43.13512812369826
6,134.50788570575656,739.6509956607113,42.54043185082832
7,134.37188597588363,744.7565478424793,43.677364332732694
8,159.95559748186892,933.1052709002172,37.62545782826559
9,133.3121226295928,749.722281096244,40.88119416589311
10,145.80771526323852,719.9548985216352,42.600637646332984
11,138.28896172225197,736.835260192123,41.940327690058716
12,138.92226761135612,736.3043391606308,42.447581232595795
13,131.59537891857343,787.4244725987603,42.2984151057851
14,137.99698950616113,731.0509777728929,44.08407581527503
15,154.65118781504788,882.6051386535283,39.94881937509586
16,137.12442560316853,741.3989151322666,42.002167608635915
17,133.14319247940122,750.848509296409,40.71624236102692
18,158.51135802721447,926.7609713929295,38.67135336486471
19,132.7071984158391,791.8190078555651,40.51874389749707
20,156.12405869269782,919.3353782847404,39.57554616021408
21,143.11777689698462,726.6994441023844,43.35037063952586
22,171.93545241363537,918.1940185147727,38.82909554183358
23,140.63135156803733,768.2067658036352,40.38178554855398
24,172.22366453916052,922.5655378072229,38.34911677643383
25,170.7356292647252,893.4608799740106,39.6407726948104
26,164.1139626797808,930.1381199965697,37.68943380837552
27,184.7045876406374,1088.605232116036,33.72145498888087
28,170.51342074276948,1030.4965899196657,34.60853214892658
29,165.57086882991067,880.2316354477942,39.809147996990546
30,157.37966706674584,902.4486937153602,38.847415097833384
31,172.36164232188654,992.9668828554372,36.339221377899264
32,181.65225856376014,1078.4541054842641,34.01254909591494
33,138.20775095014636,731.0445046516458,43.83711697581469
34,142.74345282041944,828.0069546101803,40.16005925030255
35,132.118619485182,770.1162544687227,41.256432881904644
36,182.27033003344278,1120.0739282937384,32.57736368229499
37,182.439725533328,1101.4139707767295,33.24761308255712
38,182.18430503865574,1117.6479173342896,32.64412320807606
39,132.87922015222287,786.5929721955747,40.50838260722499
