Solution,Power,Latency,Cost
0,141.5427969933927,735.3450177393727,45.37278092607006
1,141.5427969933927,735.3450177393727,45.37278092607006
2,141.44000585352245,796.4272496085663,41.07425146624347
3,150.36445020836913,725.5622027255071,46.25019576155583
4,150.92772107060446,733.8457108120981,45.99766854545412
5,138.2065942366461,769.7677463092468,42.040174268723504
6,138.6299650816456,788.6597649308741,41.87996632667434
7,144.0477869774563,734.1520293489295,43.25845650651724
8,139.23863567893247,733.9770623128935,46.692937075105014
9,133.38777683232703,798.5333272182876,41.67775157516739
10,134.39325251160983,736.000716815689,42.54491123617079
